episode,generator,steps,states,success,max_contact_force_N,contact_frames,final_dist_m,final_yaw_err_rad,socket_drift_m,solver_error,dx,dy,dyaw
episode_0,yaw,288,289,False,79.34906208349177,19,0.041852861642837524,0.0008525252342224121,0.0,,0.0,0.0,-0.5235987755982988
episode_1,yaw,299,300,False,77.0548274874684,21,0.04125053808093071,0.009851694107055664,0.0,,0.0,0.0,-0.2617993877991494
episode_2,yaw,440,441,True,76.18251697796653,1,0.00014622056914959103,0.00014684264897368848,0.0,,0.0,0.0,0.0
episode_3,yaw,422,423,True,39.700592041015625,5,0.0008492605993524194,0.003594011068344116,0.0,,0.0,0.0,0.2617993877991494
episode_4,yaw,292,293,True,2.6049872126399825,5,0.0015626180684193969,0.003348827362060547,0.0,,0.0,0.0,0.5235987755982988
episode_5,translation,412,413,True,37.809818267822266,5,0.0007273778901435435,0.0034529422409832478,0.0,,-0.015,0.0,0.0
episode_6,translation,434,435,True,3.396301856536563,14,0.001660955953411758,0.004832074046134949,0.0,,0.015,0.0,0.0
episode_7,translation,283,284,False,91.89543378864184,20,0.03963914141058922,0.011231961660087109,0.0,,0.0,-0.015,0.0
episode_8,translation,441,442,True,83.57273727605838,15,0.0018617521272972226,0.0019900621846318245,0.0,,0.0,0.015,0.0
episode_9,translation,156,157,False,0.6855454444885254,1,0.3288384675979614,0.03048114664852619,0.0,RuntimeError('motion planning failed'),0.0,0.0,0.0
episode_10,mixed,299,300,False,78.91386011941714,20,0.042541395872831345,0.0008355975151062012,0.0,,0.0032870804957149027,-0.0055251188696671125,-0.48069140166842056
episode_11,mixed,274,275,False,68.70616645192781,19,0.03211039677262306,0.0016668736934661865,0.0,,-0.011603336747315302,0.0075184857408065395,0.4322366297679682
episode_12,mixed,156,157,False,35.02289429103204,1,0.3695467412471771,0.3105974793434143,0.0,RuntimeError('motion planning failed'),0.002559258618412316,0.005507917463615963,0.045683984233563346
episode_13,mixed,297,298,False,68.92052763588612,19,0.04105367884039879,0.00011259317398071289,0.0,,0.010441738170906437,0.007580485298916771,-0.5207310249261683
episode_14,mixed,298,299,True,76.23641181489815,21,0.008594715036451817,6.337463855743408e-05,0.0,,0.008577702638101665,-0.011193946192668856,0.24049462112039888
episode_15,mixed,253,254,False,71.22763707097056,18,0.039114728569984436,0.035472624003887177,0.0,,-0.007784265105538584,0.008716294136397278,0.04341808831447158
episode_16,mixed,285,286,False,87.94880284757924,20,0.041947245597839355,0.0009927749633789062,0.0,,-0.004806914627102765,-0.001855506691256198,-0.49394248532407703
episode_17,mixed,291,292,True,72.32715459778154,19,0.0022031529806554317,0.001611664891242981,0.0,,-0.009017201364010467,0.004094985952647127,0.154136496082378
episode_18,mixed,368,369,True,2.4230863149943342,4,0.001073708408512175,0.0019788742065429688,0.0,,0.002769242675550093,-0.0027917386977147976,0.5206770271890794
episode_19,mixed,272,273,False,85.35974657025666,19,0.03770415484905243,0.004718780517578125,0.0,,0.011540048130629522,0.004453007627536674,0.15756058566246955
episode_20,mixed,295,296,False,85.3499731514395,20,0.041065264493227005,0.0036246180534362793,0.0,,0.004522721533702562,-0.0026658858245015085,-0.3821260463636109
episode_21,mixed,306,307,False,70.88131526602473,20,0.04005357250571251,0.004966855049133301,0.0,,0.00531572016465796,0.0006085037394174212,-0.19871424323432085
episode_22,mixed,263,264,True,70.74360286757401,19,0.007990377023816109,0.00010767579078674316,0.0,,-0.00033995138803706235,0.009347708024376008,0.454529307022146
episode_23,mixed,262,263,False,91.09191400448141,18,0.039200589060783386,0.0008946806192398071,0.0,,-0.0034129152789823154,0.001716715937514263,-0.18653793745843217
episode_24,mixed,493,494,False,85.38403849512991,1,0.5573226809501648,1.3733057975769043,0.0,,0.0022632007247927223,-0.0038901305878288016,-0.11349631724314929
episode_25,mixed,281,282,False,46.34403190927162,19,0.03179758042097092,0.011861301958560944,0.0,,0.009366584448115015,-0.006548217755198887,0.1290012762541246
episode_26,mixed,289,290,True,40.70461378106531,9,0.0017063396517187357,0.0012038350105285645,0.0,,-0.009983631754022764,0.007983459543681546,0.3006486445548371
episode_27,mixed,298,299,False,83.98091005298666,20,0.04261886700987816,0.0012580454349517822,0.0,,-0.006255133368169148,0.009035621539456893,-0.4622664729719022
episode_28,mixed,260,261,False,86.0634233924512,18,0.0389326736330986,0.001495078206062317,0.0,,-0.003933190546904152,-0.008393292794523863,-0.05200449363573878
episode_29,mixed,292,293,False,83.75587421899664,20,0.041070010513067245,0.00015550851821899414,0.0,,0.007111782486895063,-0.006464586984150061,-0.4691221965135881
