model,sample_size,accuracy,sum,count
Frame-weighted (SE(3)),8,0.0,0,18
Full operator (SE(3)),8,1.0,18,18
Pdiag pointwise (SE(3)),8,1.0,18,18
Pdiag finite (SE(3)),8,1.0,18,18
Frame-weighted (SE(3)),15,0.0,0,18
Full operator (SE(3)),15,0.6666666666666666,12,18
Pdiag pointwise (SE(3)),15,0.6666666666666666,12,18
Pdiag finite (SE(3)),15,1.0,18,18
Frame-weighted (SE(3)),30,0.0,0,18
Full operator (SE(3)),30,0.7222222222222222,13,18
Pdiag pointwise (SE(3)),30,0.8333333333333334,15,18
Pdiag finite (SE(3)),30,1.0,18,18
