seed,subset_id,model,episode,generator,task_error_mm_equiv,task_endpoint_error_mm_equiv
20260818,0,Pdiag finite,episode_0,yaw,3.268201814132465,0.9457722725991492
20260818,0,Pdiag finite,episode_1,yaw,1.274521966832446,0.8579579113245921
20260818,0,Pdiag finite,episode_3,yaw,2.7377340823898595,0.8743910690978288
20260818,0,Pdiag finite,episode_4,yaw,2.885358246659731,0.963222314421411
20260818,0,Pdiag finite,episode_5,translation,5.140714603571539,4.567694080328292
20260818,0,Pdiag finite,episode_7,translation,3.5756568205478136,2.93397308124225
20260818,0,Pdiag finite,episode_8,translation,2.18228274700644,0.8509432836670675
20260818,0,Pdiag finite,episode_9,translation,2.3237310174775234,0.823022553415784
20260818,0,Full operator,episode_0,yaw,4.488788803653925,2.1471458410865294
20260818,0,Full operator,episode_1,yaw,1.611567152308483,0.828976485755591
20260818,0,Full operator,episode_3,yaw,6.988706537640476,5.797479981413818
20260818,0,Full operator,episode_4,yaw,12.472998420574992,8.394509577468666
20260818,0,Full operator,episode_5,translation,14.354833342957397,15.690136038572703
20260818,0,Full operator,episode_7,translation,8.140599150419018,9.307688223228231
20260818,0,Full operator,episode_8,translation,1.6484294175635312,0.2694220452219902
20260818,0,Full operator,episode_9,translation,6.313643110084942,6.703179767777979
20260818,0,Generic RBF,episode_0,yaw,18.191841387277066,19.361003882971296
20260818,0,Generic RBF,episode_1,yaw,23.13325613832626,25.153602069831937
20260818,0,Generic RBF,episode_3,yaw,36.61278170984632,36.9535325928552
20260818,0,Generic RBF,episode_4,yaw,44.54799670972209,42.93017470778007
20260818,0,Generic RBF,episode_5,translation,29.912619121122404,28.6673755183234
20260818,0,Generic RBF,episode_7,translation,28.55215802984416,33.430619422717704
20260818,0,Generic RBF,episode_8,translation,7.92275268608565,5.8364429737311525
20260818,0,Generic RBF,episode_9,translation,63.50215378702997,64.03603940709849
20260818,1,Pdiag finite,episode_0,yaw,4.3601045221758765,0.3273828539591923
20260818,1,Pdiag finite,episode_1,yaw,4.692648561025554,0.4423185316087644
20260818,1,Pdiag finite,episode_3,yaw,5.951410004848978,0.392442833083567
20260818,1,Pdiag finite,episode_4,yaw,5.0359376883278735,0.3027840605713541
20260818,1,Pdiag finite,episode_5,translation,4.782018992860009,0.7634337700478411
20260818,1,Pdiag finite,episode_7,translation,6.315328407367803,1.2691508607987705
20260818,1,Pdiag finite,episode_8,translation,5.002031012233476,1.5665327832817169
20260818,1,Pdiag finite,episode_9,translation,6.7859201495097725,0.2890897741913703
20260818,1,Full operator,episode_0,yaw,15.526787209341276,4.498249586751508
20260818,1,Full operator,episode_1,yaw,12.294626522139248,0.9992761588563636
20260818,1,Full operator,episode_3,yaw,17.848917002816062,6.170312995317118
20260818,1,Full operator,episode_4,yaw,20.73744446867692,9.823510299588444
20260818,1,Full operator,episode_5,translation,9.03877147631227,1.5634182895478246
20260818,1,Full operator,episode_7,translation,21.671681144476743,6.690620533619732
20260818,1,Full operator,episode_8,translation,14.03672924234861,3.6965230994374334
20260818,1,Full operator,episode_9,translation,17.605739661434935,1.183584944922795
20260818,1,Generic RBF,episode_0,yaw,18.31543812517569,1.9502464731065128
20260818,1,Generic RBF,episode_1,yaw,17.024403012639,11.359525182849875
20260818,1,Generic RBF,episode_3,yaw,39.99180361751548,37.69593430495198
20260818,1,Generic RBF,episode_4,yaw,53.46666815015595,50.89164815458102
20260818,1,Generic RBF,episode_5,translation,10.477068840688498,6.524128118280848
20260818,1,Generic RBF,episode_7,translation,45.09925189607468,42.5463336257239
20260818,1,Generic RBF,episode_8,translation,30.980942820723808,26.83224209983819
20260818,1,Generic RBF,episode_9,translation,31.394500010884254,22.56587993800064
20260818,2,Pdiag finite,episode_0,yaw,3.194256997047995,0.7752555509748691
